,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,QCOM250417P00080000,2024-09-30 14:01:23+00:00,80.0,0.4,0.11,1.62,0.0,0.0,10.0,20,0.6245154736328126,False,REGULAR,USD
1,QCOM250417P00085000,2024-10-14 14:10:49+00:00,85.0,0.35,0.17,1.9,0.0,0.0,16.0,28,0.6010782080078126,False,REGULAR,USD
2,QCOM250417P00090000,2024-10-17 17:38:54+00:00,90.0,0.56,0.25,2.15,0.0,0.0,2.0,9,0.5756878369140624,False,REGULAR,USD
3,QCOM250417P00095000,2024-10-07 18:04:56+00:00,95.0,1.05,0.59,1.83,0.0,0.0,5.0,17,0.5347946911621093,False,REGULAR,USD
4,QCOM250417P00100000,2024-10-18 18:03:29+00:00,100.0,0.97,0.77,1.3,-0.3399999,-25.954193,1.0,9,0.5029346582031251,False,REGULAR,USD
5,QCOM250417P00105000,2024-10-10 19:18:13+00:00,105.0,1.56,0.83,1.35,0.0,0.0,6.0,25,0.4683891052246094,False,REGULAR,USD
6,QCOM250417P00110000,2024-10-01 14:25:16+00:00,110.0,2.25,1.35,1.67,0.0,0.0,1.0,23,0.454107021484375,False,REGULAR,USD
7,QCOM250417P00115000,2024-10-11 14:46:50+00:00,115.0,2.32,1.77,2.25,0.0,0.0,1.0,26,0.4514215014648438,False,REGULAR,USD
8,QCOM250417P00120000,2024-10-17 17:56:05+00:00,120.0,2.51,2.37,2.58,0.0,0.0,24.0,483,0.43018147949218755,False,REGULAR,USD
9,QCOM250417P00125000,2024-10-11 13:54:15+00:00,125.0,3.9,3.1,3.25,0.0,0.0,160.0,213,0.4222469885253906,False,REGULAR,USD
10,QCOM250417P00130000,2024-10-17 17:55:14+00:00,130.0,3.85,3.85,4.0,0.0,0.0,1.0,92,0.4126645648193359,False,REGULAR,USD
11,QCOM250417P00135000,2024-10-17 13:49:09+00:00,135.0,5.04,4.3,5.85,0.0,0.0,1.0,130,0.43494217407226565,False,REGULAR,USD
12,QCOM250417P00140000,2024-10-18 17:41:59+00:00,140.0,6.2,5.9,6.25,0.2999997,5.0847406,110.0,277,0.40442490112304685,False,REGULAR,USD
13,QCOM250417P00145000,2024-10-18 14:13:36+00:00,145.0,7.5,7.15,7.4,0.3499999,4.8951035,7.0,59,0.39362178649902346,False,REGULAR,USD
14,QCOM250417P00150000,2024-10-18 16:14:50+00:00,150.0,9.25,8.6,9.65,0.9499998,11.445781,80.0,174,0.40650007568359375,False,REGULAR,USD
15,QCOM250417P00155000,2024-10-17 17:55:18+00:00,155.0,9.95,10.3,10.55,0.0,0.0,23.0,146,0.3807434973144531,False,REGULAR,USD
16,QCOM250417P00160000,2024-10-08 19:22:29+00:00,160.0,15.05,11.3,12.65,0.0,0.0,351.0,672,0.3794007373046875,False,REGULAR,USD
17,QCOM250417P00165000,2024-10-18 16:42:31+00:00,165.0,15.15,13.75,14.7,1.4499998,10.5839405,4.0,57,0.372076591796875,False,REGULAR,USD
18,QCOM250417P00170000,2024-10-17 18:14:15+00:00,170.0,16.4,15.75,18.25,0.0,0.0,9.0,1772,0.39197385375976557,False,REGULAR,USD
19,QCOM250417P00175000,2024-10-18 16:11:21+00:00,175.0,20.3,18.3,19.65,2.4499989,13.725483,1.0,123,0.3619448571777344,True,REGULAR,USD
20,QCOM250417P00180000,2024-10-17 18:06:34+00:00,180.0,21.35,21.05,22.95,0.0,0.0,3.0,18,0.36734641448974614,True,REGULAR,USD
21,QCOM250417P00185000,2024-09-19 17:55:22+00:00,185.0,23.35,23.4,25.8,0.0,0.0,51.0,120,0.3590151989746094,True,REGULAR,USD
22,QCOM250417P00190000,2024-10-01 19:37:39+00:00,190.0,32.4,28.05,28.85,0.0,0.0,3.0,27,0.3504398452758788,True,REGULAR,USD
23,QCOM250417P00195000,2024-09-27 14:53:39+00:00,195.0,31.7,31.35,33.0,0.0,0.0,20.0,36,0.36203640899658207,True,REGULAR,USD
24,QCOM250417P00200000,2024-09-19 17:52:47+00:00,200.0,32.8,35.15,35.7,0.0,0.0,,19,0.3363103479003906,True,REGULAR,USD
25,QCOM250417P00210000,2024-08-27 15:18:36+00:00,210.0,44.2,44.0,44.85,0.0,0.0,,1,0.3640810662841797,True,REGULAR,USD
26,QCOM250417P00220000,2024-08-26 14:18:47+00:00,220.0,53.05,53.3,55.6,0.0,0.0,,5,0.42804527038574225,True,REGULAR,USD
27,QCOM250417P00230000,2024-08-22 17:33:40+00:00,230.0,62.1,61.25,63.85,0.0,0.0,,1,0.41889008850097653,True,REGULAR,USD
